,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type
1792,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6,Red Wine
1483,5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6,White Wine
6434,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,White Wine
197,6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6,White Wine
894,7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,White Wine
6069,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,Red Wine
5374,6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7,White Wine
5566,6.7,0.27,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10,6,White Wine
136,6,0.24,0.32,6.3,0.03,34,129,0.9946,3.52,0.41,10.4,5,White Wine
2237,11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,5,Red Wine
6273,5.7,0.36,0.34,4.2,0.026,21,77,0.9907,3.41,0.45,11.9,6,White Wine
2257,7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.43333333,6,White Wine
1392,7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,5,Red Wine
6435,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5,Red Wine
5496,6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5,White Wine
3419,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,White Wine
168,7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6,White Wine
6004,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,White Wine
2852,7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6,White Wine
4272,9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,7,Red Wine
1561,6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6,White Wine
4419,6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6,Red Wine
508,7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,6,White Wine
3186,6.4,0.17,0.27,6.7,0.036,88,223,0.9948,3.28,0.35,10.2,6,White Wine
5918,5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,6,White Wine
5149,7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5,Red Wine
1777,6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,6,White Wine
3361,7.9,0.18,0.33,1.2,0.033,20,72,0.9922,3.12,0.38,10.5,7,White Wine
146,6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5,White Wine
5393,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5,White Wine
4317,6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5,White Wine
6484,6.8,0.27,0.35,7.8,0.048,76,197,0.9959,3.24,0.43,9.5,6,White Wine
4605,7.2,0.23,0.39,2.3,0.033,29,102,0.9908,3.26,0.54,12.3,7,White Wine
2562,7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,Red Wine
6213,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44,11,6,White Wine
5477,6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,White Wine
908,6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,6,White Wine
4652,9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5,White Wine
4981,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4,Red Wine
2813,6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4,White Wine
5442,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7,White Wine
3695,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7,White Wine
6235,6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,5,Red Wine
3413,5.8,0.58,0,1.5,0.02,33,96,0.98918,3.29,0.38,12.4,6,White Wine
423,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,6,Red Wine
3623,6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5,White Wine
3734,7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5,Red Wine
3486,8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,6,White Wine
3729,7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,7,Red Wine
967,8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5,White Wine
4370,7.1,0.21,0.4,1.2,0.069,24,156,0.9928,3.42,0.43,10.6,6,White Wine
860,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6,White Wine
6187,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6,Red Wine
5203,6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,Red Wine
433,6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,5,White Wine
4905,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,White Wine
6237,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5,Red Wine
5294,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7,Red Wine
1429,6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7,White Wine
4297,8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5,White Wine
3929,6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7,White Wine
2546,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,White Wine
6107,8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5,White Wine
329,7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5,White Wine
3612,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,Red Wine
209,8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5,Red Wine
6074,6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6,White Wine
3968,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,White Wine
1040,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,Red Wine
6250,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5,Red Wine
164,6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5,White Wine
606,6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.33333333,6,White Wine
5311,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,White Wine
1219,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,White Wine
1331,6.6,0.19,0.35,1.5,0.037,37,107,0.99006,3.18,0.68,12,7,White Wine
4232,9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,5,White Wine
952,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,3,White Wine
4955,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,Red Wine
3165,8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5,White Wine
6011,5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,6,White Wine
2798,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,Red Wine
5207,6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,6,White Wine
160,7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5,Red Wine
2195,6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,8,White Wine
4680,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4,White Wine
1111,5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7,White Wine
3085,5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,6,White Wine
5713,8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5,Red Wine
5240,6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5,White Wine
1908,9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,Red Wine
2999,7.3,0.18,0.65,1.4,0.046,28,157,0.9946,3.33,0.62,9.4,6,White Wine
2763,8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,Red Wine
732,8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6,White Wine
5028,7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6,White Wine
281,7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7,White Wine
4896,8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5,White Wine
3854,5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8,White Wine
4566,6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,6,White Wine
1308,6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,5,White Wine
3396,7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,7,White Wine
5654,6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6,White Wine
5347,6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,5,White Wine
595,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,Red Wine
647,6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,5,White Wine
4040,6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8,White Wine
573,6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6,White Wine
5637,5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.733333333,5,White Wine
256,5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,6,White Wine
3208,6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8,White Wine
3279,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5,White Wine
5259,7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5,White Wine
1028,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5,White Wine
4444,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8,White Wine
2989,6.7,0.45,0.3,5.3,0.036,27,165,0.99122,3.12,0.46,12.2,6,White Wine
5402,8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6,White Wine
586,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,White Wine
5940,8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6,White Wine
5102,8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,7,Red Wine
3291,7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6,White Wine
2867,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,Red Wine
739,6.8,0.25,0.34,14,0.032,47,133,0.9952,3.37,0.5,12.2,7,White Wine
4969,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6,White Wine
4882,6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6,White Wine
3445,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6,White Wine
5410,9.2,0.32,0.42,1.3,0.046,14,186,0.9949,3.08,0.48,9.6,5,White Wine
437,5.7,0.1,0.27,1.3,0.047,21,100,0.9928,3.27,0.46,9.5,5,White Wine
3898,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5,White Wine
4011,7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6,White Wine
1847,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,White Wine
1532,7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,6,Red Wine
1020,6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6,White Wine
941,5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5,White Wine
2903,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5,White Wine
449,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,White Wine
3398,5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,8,White Wine
5610,6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,5,White Wine
3125,7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6,White Wine
816,6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7,White Wine
2107,7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,White Wine
6480,7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,7,White Wine
1690,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4,White Wine
5756,7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,White Wine
4259,6.8,0.32,0.43,1.6,0.05,4,65,0.99346,3.27,0.47,10.7,5,White Wine
3642,6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4,Red Wine
945,7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4,White Wine
5226,7.5,0.2,0.47,16.9,0.052,51,188,0.99944,3.09,0.62,9.3,5,White Wine
201,6.9,0.18,0.3,2,0.038,39,190,0.9914,3.32,0.37,12.2,6,White Wine
1805,8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,White Wine
1862,6.45,0.14,0.42,1.2,0.05,51,129,0.99116,3.27,0.69,11.1,7,White Wine
550,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5,White Wine
3751,6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6,White Wine
1672,13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5,Red Wine
2040,6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6,White Wine
903,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7,White Wine
5840,12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,6,Red Wine
504,9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6,Red Wine
6105,6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,5,Red Wine
5896,7.7,0.27,0.61,12,0.046,64,179,0.9982,3.07,0.46,8.9,5,White Wine
3811,6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,White Wine
1479,6.1,0.2,0.17,1.6,0.048,46,129,0.991,3.3,0.43,11.4,6,White Wine
5593,8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6,Red Wine
5692,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7,White Wine
4496,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,Red Wine
3128,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,White Wine
3821,7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7,White Wine
2711,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,White Wine
280,5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5,White Wine
1028,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5,White Wine
2660,7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5,Red Wine
5100,7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,6,White Wine
2353,6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5,White Wine
2391,6.1,0.4,0.18,9,0.051,28.5,259,0.9964,3.19,0.5,8.8,5,White Wine
5662,7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6,White Wine
153,7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,Red Wine
3860,6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,7,White Wine
2405,6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6,White Wine
2745,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,Red Wine
4503,9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5,White Wine
1053,8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5,Red Wine
2977,6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6,White Wine
5491,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,Red Wine
3893,7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,4,Red Wine
2679,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,Red Wine
2995,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,Red Wine
4950,8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5,Red Wine
4103,6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5,White Wine
2665,7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,White Wine
3057,7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6,White Wine
6281,5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5,White Wine
3968,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,White Wine
851,6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,5,White Wine
1400,6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7,White Wine
5028,7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6,White Wine
3793,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5,White Wine
3331,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6,White Wine
126,7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6,White Wine
5930,6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6,White Wine
577,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,Red Wine
5652,7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,7,White Wine
804,5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,White Wine
5444,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,White Wine
3024,8.6,0.27,0.46,6.1,0.032,13,41,0.993,2.89,0.34,10.9,5,White Wine
112,7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6,White Wine
1967,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,Red Wine
650,7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5,White Wine
4333,6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1,5,White Wine
1384,7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6,White Wine
5086,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,White Wine
5979,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,Red Wine
5675,7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6,Red Wine
63,7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7,White Wine
3999,6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6,White Wine
3988,7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,7,Red Wine
2502,7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5,White Wine
5385,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,White Wine
3516,12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,Red Wine
4699,7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,White Wine
2671,6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,6,White Wine
5539,7.3,0.25,0.27,3.8,0.047,16,79,0.99173,3.07,0.46,11.3,6,White Wine
2387,6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,Red Wine
1868,8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,5,Red Wine
5394,6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,6,White Wine
3441,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5,White Wine
2274,7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6,White Wine
5345,8.1,0.26,0.3,7.8,0.049,39,152,0.9954,2.99,0.58,10,6,White Wine
1963,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7,White Wine
5763,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,White Wine
2956,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,White Wine
3898,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5,White Wine
3969,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,White Wine
4903,6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5,White Wine
5144,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,White Wine
698,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5,White Wine
292,7.1,0.17,0.43,1.3,0.023,33,132,0.99067,3.11,0.56,11.7,6,White Wine
837,6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6,5,White Wine
6278,7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7,White Wine
4099,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5,Red Wine
5346,6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,5,Red Wine
4776,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,White Wine
5537,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6,White Wine
4122,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,6,White Wine
736,7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5,White Wine
2296,9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6,Red Wine
4461,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,Red Wine
1971,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,White Wine
3273,7,0.15,0.3,13.3,0.049,46,120,0.99704,3.2,0.36,9.5,7,White Wine
5557,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,6,White Wine
197,6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6,White Wine
5025,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5,Red Wine
1671,8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6,Red Wine
2685,7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7,White Wine
606,6.5,0.29,0.3,9.15,0.051,25,166,0.99339,3.24,0.56,11.33333333,6,White Wine
2120,7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6,White Wine
4342,6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1,5,White Wine
1159,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,White Wine
1731,6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,5,Red Wine
2261,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,White Wine
3395,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6,Red Wine
6246,6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7,White Wine
2375,5.8,0.35,0.29,3.2,0.034,41,151,0.9912,3.35,0.58,11.63333333,7,White Wine
595,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,Red Wine
5343,7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6,White Wine
2304,6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,White Wine
3717,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,White Wine
3419,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,White Wine
1131,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5,White Wine
6089,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7,White Wine
2003,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6,White Wine
3591,6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7,White Wine
3221,5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8,White Wine
2021,8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,6,Red Wine
5512,5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7,White Wine
1707,8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,6,White Wine
1582,6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5,Red Wine
0,6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8,White Wine
691,6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7,White Wine
